lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,"Party || 2 || „ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო - მოძრაობა თავისუფლებისთვის“|""Bakradze, Ugulava, Bokeria - European Georgia - Movement for Liberty""","Party || 41 || ქართული ოცნება - დემოკრატიული საქართველო|""Georgian Dream – Democratic Georgia""","Party || 5 || საარჩევნო ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია” |Election Bloc - United National Movement - United Opposition ""Strength is in Unity""","Party || 56 || „ლელო - მამუკა ხაზარაძე“|""Lelo - Mamuka Khazaradze""","Party || 8 || „დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”|""Davit Tarkhan-Mouravi, Irma Inashvili - ""Alliance of Patriots of Georgia""",Party || 999 || Other
41.5781402,44.9855824,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,N43 საბავშვო ბაღი,მე-19 მკრ. რ-ნი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/ab5e653a-6f27-4e7d-9b57-a69e4fe5a1e8,12,12.20.32,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#12 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1444,636,808,766,2,23,3,42,273,338,12,15,53
42.0976817819628,43.22823162442023,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,უბისის,საჯარო სკოლა,სოფ. უბისა,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/eb9ee73d-bda5-427a-8700-01eba053ae17,20,20.48.07,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#20 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,270,138,132,214,3,13,3,7,121,57,3,10,3
41.695959878554035,44.86182401994497,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,157-ე საჯარო სკოლა,ვარკეთილის 4 მიკრო რაიონი 3 კვარტალი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/bccaeea0-0840-442d-9332-73f01e687ea1,4,04.05.53,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#4 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1779,737,1042,815,3,41,3,,287,280,25,,181
42.34282422547398,42.99450694470522,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ძველი ტყიბულის მესამე საარჩევნო უბანი,ტყიბულის № 1 საჯარო სკოლის შენობა,"ტყიბული, ვაჟა-ფშაველას ქ №1",,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/1a50d00b-0007-4d0d-aee7-21955999ca4c,21,21.57.36,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#21 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,961,449,512,500,3,12,3,49,217,130,26,10,56
42.14133352335478,42.98894799154051,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,#37 ს/უბ (არგვეთა),არგვეთის N34 საბავშვო ბაღი,არგვეთა მე-15 ქN1,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/9b395d20-0a3a-41e2-80f1-ac33e9181c7f,21,21.51.37,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#21 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1184,578,606,653,3,22,3,61,310,189,16,22,32
41.736126900745305,44.833162017837026,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,N49 ბაგა-ბაღი,ხეხილ-სანერგე მეურნეობა,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/250457bb-0fb3-48d6-a19c-b5bf45bfad84,7,07.09.04,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#7 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1322,602,720,643,3,34,3,,319,,36,41,212
41.719589,44.77961909999999,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,სპორტის სასახლე,"26 მაისის მოედანი N1, I სართ.",,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/ebd00f6b-07d2-4745-a826-29dc79a36258,3,03.03.43,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#3 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1616,688,928,897,3,37,3,,381,,145,27,304
41.9195763,42.0048109,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,N1 საჯარო სკოლა,ოზურგეთი ნინოშვილის ქ N 5,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/170d511b-cf98-4de6-8403-b2ef6e4e4000,24,24.60.08,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#24 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1329,595,734,829,3,26,3,26,439,157,49,33,99
41.7654077,44.7866354,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,N133 საჯარო სკოლა,ვარდისუბნის ქ.N8,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/2083fca0-2665-490d-9c94-2394f6fbee71,7,07.09.58,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#7 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1512,664,848,794,3,55,3,,327,,62,60,290
42.00410856316432,42.20494627591765,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,N07 გორაბერეჟოული,ადმინისტრაციული შენობა,სოფ. გორაბერეჟოული,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/5b8755eb-baff-4d8a-9191-3427c1cb0a57,24,24.62.07,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#24 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,580,288,292,362,3,12,3,8,242,65,7,15,13
